Laboratory_number;Radiocarbon age (years BP);Error;delta_C13;delta_N15;C:N;%C;%collagen;Calculation details;Laboratory treatment;Calibration used;Dated material;Context;Site;Country;Source;Group;Subgroup;Notes
KIA-26465;5425;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcinded bone (Mammal, species indet., anatomy indet.);From w18/z1(2) in sector B and J/L;Doel-Deurganckdok;Belgium;Cromb� et al. 2008 Tab. 1;SW;ND;
KIA-17997;5550;35;-27,1;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seeds (charred, Hedera helix, seed);From w19/z1(4)h in sector B and J/L;Doel-Deurganckdok;Belgium;Cromb� et al. 2008 Tab. 1;SW;ND;
KIA-17987;5570;30;-24,3;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seeds (charred, species and anatomy indet.);From w6/z6(3) in sector B and J/L;Doel-Deurganckdok;Belgium;Cromb� et al. 2008 Tab. 1;SW;ND;
GrA-64342;5380;40;-22,5;6,6;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Ovis ammon f. aries, metatarsus);From layer 15;Hardinxveld Giessendam de Bruin;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. �akirlar et al., 2020";SW;ND;
GrA-62951;5610;40;-22,9;4,8;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Ovis ammon f. aries/Capra aegagrus f. hircus, anatomy indet.);From layer 33;Hardinxveld Giessendam de Bruin;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. �akirlar et al., 2020";SW;ND;
GrA-13278;5730;50;-28,33;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seeds (charred, Alnus sp., fruit cones);From layer 32, pit 16, top of phase 2A;Hardinxveld Giessendam de Bruin;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Louwe Kooijmans 2001";SW;ND;
GrA-13296;6050;50;-26,52;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;"Seeds (charred, Corylus avellana, Tilia, sp.; nuts)";From layer 30, pit 16, lower half of phase 2A;Hardinxveld Giessendam de Bruin;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Louwe Kooijmans 2001";SW;ND;
GrA-10950;5430;60;-25,37;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seeds (charred, Galium sp., Corylus avellana, Urtica diotica, seeds);From layer 10, pit 21, west section;Hardinxveld Giessendam de Bruin;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Louwe Kooijmans 2001";SW;ND;
GrA-13275;6420;50;-23,22;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;"Seeds (charred, Quercus sp., cupule, acorn; Alnus sp., fruit cone; Tilia sp., nut)";From layer 46, pit 16, base phase 1;Hardinxveld Giessendam de Bruin;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Louwe Kooijmans 2001";SW;ND;
GrA-15034;6010;55;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seeds (charred, Tilia sp., fruit bodies);From layer 33, pit 24;Hardinxveld Giessendam de Bruin;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Louwe Kooijmans 2001";SW;ND;
GrA-13272;5900;50;-28,62;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seeds (charred, Tilia sp., seeds);From layer 15, pit 16, base od phase 2B (phase 3);Hardinxveld Giessendam de Bruin;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Louwe Kooijmans 2001";SW;ND;
OxA-15608;5267;35;-25,3;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (charred, Hordeum vulgare, seed);From occupation layer;Swifterbant S3;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Raemaekers 2015";SW;ND;
OxA-15612;5269;37;-24,7;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (charred, Hordeum vulgare, seed);From occupation layer;Swifterbant S3;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Raemaekers 2015";SW;ND;
OxA-15610;5278;36;-25,1;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (charred, Hordeum vulgare, seed);From occupation layer;Swifterbant S3;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Raemaekers 2015";SW;ND;
OxA-15609;5334;35;-24,2;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (charred, Hordeum vulgare, seed);From occupation layer;Swifterbant S3;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Raemaekers 2015";SW;ND;
OxA-15611;5358;34;-24,8;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (charred, Hordeum vulgare, seed);From occupation layer;Swifterbant S3;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Raemaekers 2015";SW;ND;
GrA-35308;5290;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Castor fiber, anatomy indet.);From layer 8;Swifterbant S4;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Schepers and Woltinge 2020";SW;ND;
GrA-34814;5245;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Castor fiber, anatomy indet.);From layer 9;Swifterbant S4;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Schepers and Woltinge 2020";SW;ND;
GrA-38187;5340;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Plant material (Phragmites australis, anatomy indet.);From layer 10;Swifterbant S4;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Schepers and Woltinge 2020";SW;ND;
GrA-38188;5230;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Plant material (Phragmites australis, anatomy indet.);From layer 2;Swifterbant S4;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Schepers and Woltinge 2020";SW;ND;
GrA-38189;5340;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Plant material (Phragmites australis, anatomy indet.);From layer 3;Swifterbant S4;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Schepers and Woltinge 2020";SW;ND;
GrN-30447;5390;70;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (species and anatomy indet.);From layer 5;Swifterbant S4;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Schepers and Woltinge 2020";SW;ND;
GrA-33953;5010;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (species and anatomy indet.);From layer 6;Swifterbant S4;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Schepers and Woltinge 2020";SW;ND;
GrA-33954;5350;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (species and anatomy indet.);From layer 7;Swifterbant S4;The Netherlands;"Dreshaj et al. 2022, Appendix B; cf. Schepers and Woltinge 2020";SW;ND;
GrM-22781;5569;27;-21,56;5,18;3,28;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Bos sp., mandibula);From layer 15;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-23702;5500;45;-21,35;5,4;3,3;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Bos sp., mandibula);From layer 15;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-22775;5514;29;-22,57;7;3,22;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Bos sp., metacarpus);From layer 15;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25038;5530;30;-22,12;6,63;3,2;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Bos sp., tibia);From layer 10;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25045;5841;29;-22,2;5,19;3,2;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Castor fiber, femur);From layer 5;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25036;6017;29;-22,46;4,2;3,2;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Cervus elaphus, antler);From layer 12;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-23704;6550;30;-22,53;3,7;3,21;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Cervus elaphus, femur);From layer 28;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25035;6492;29;-22,9;5,46;3,3;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, large herbivore, cranium);From layer 37;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25033;6502;30;-22,24;5,2;3,2;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., cranium);From layer 28;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-26626;6167;29;-21,79;3,63;3,2;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., femur);From layer 20;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-23741;5889;27;-21,98;5,67;3,3;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., femur);From layer 10;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-22851;6319;29;-21,64;5,59;3,23;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., mandibula);From layer 48;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-22778;6425;50;-22,73;5,59;3,53;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., mandibula);From layer 46;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25040;6126;29;-20,58;3,57;3,1;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., mandibula);From layer 134;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25043;6198;30;-21,08;7,85;3,2;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., mandibula);From layer 134;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-22776;6019;29;-21,54;4,34;3,12;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., mandibula);From layer 33;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-22770;6483;22;-22,13;4,81;3,17;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., mandibula);From layer 29;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-22772;6298;29;-23,06;6,12;3,22;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., mandibula);From layer 28;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-22774;6420;29;-20,67;5,84;3,26;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., mandibula);From layer 35;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-22769;6473;29;-22,79;5,67;3,26;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., maxilla);From layer 37;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-26625;6080;27;-21,03;5,3;3,3;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., scapula);From layer 32;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25044;5905;29;-21,66;6,6;3,2;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., tibia);From layer 10;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-26624;6047;27;-22,11;5;3,3;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., ulna);From layer 20;De Bruin;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrM-25037;6223;29;-21;6,05;3,2;Not reported;Not reported;Not reported;cf. Dee et al. 2021;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (collagen, Sus sp., ulna);From layer 20;Polderweg;The Netherlands;Dreshaj et al. 2023a, Tab. 2;SW;ND;
GrA-9802;6050;50;-27,07;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Alnus sp., fruit cone);From unit 6, layer 12, peat ;Polderweg;The Netherlands;"Dreshaj et al. 2023a, S1; cf. Louwe Kooijmans and Mol 2001";SW;ND;
GrA-9799;6540;50;-25,05;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Quercus sp., acorn);From the base of unit 4, layer 29, next to the previous sample, peat ;Polderweg;The Netherlands;"Dreshaj et al. 2023a, S1; cf. Louwe Kooijmans and Mol 2001";SW;ND;
GrA-9798;6320;50;-25,86;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seeds (Cornus, sp. seed);From the base of unit 6, layer 26, peat;Polderweg;The Netherlands;"Dreshaj et al. 2023a, S1; cf. Louwe Kooijmans and Mol 2001";SW;ND;
GrA-9803;6380;50;-24,03;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seeds (Iris sp., Scirpus sp., anatomy indet.);From the top of unit 4, layer 29, peat;Polderweg;The Netherlands;"Dreshaj et al. 2023a, S1; cf. Louwe Kooijmans and Mol 2001";SW;ND;
GrM-28833;5330;30;-25,04;Not reported;Not reported;60,5;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 4;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-28294;5317;24;-24,89;Not reported;Not reported;59,5;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 5;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-28800;5380;27;-25,69;Not reported;Not reported;69,3;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 7;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-28801;5387;27;-25,32;Not reported;Not reported;57,9;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 1;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-28802;5366;27;-23,76;Not reported;Not reported;61,7;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 5;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-28295;5338;16;-24,09;Not reported;Not reported;63,4;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 7;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-28831;5365;30;-24,48;Not reported;Not reported;64,4;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 8;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-28832;5350;30;-25,32;Not reported;Not reported;56,5;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 10;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-27308;5247;26;-24,28;Not reported;Not reported;52,6;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From Level F (1);Swifterbant S3;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-27306;5272;28;-25,06;Not reported;Not reported;50,5;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From Level G (2);Swifterbant S3;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-29664;5321;27;-24,89;Not reported;Not reported;56,1;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 2;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-27300;5213;26;-25,42;Not reported;Not reported;60,8;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From Level H (3);Swifterbant S3;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-27298;5300;26;-23,46;Not reported;Not reported;52,3;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From Level K (5);Swifterbant S3;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-27307;5235;28;-24,53;Not reported;Not reported;51,2;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From Level F (1);Swifterbant S3;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-27310;5329;26;-27,4;Not reported;Not reported;50,1;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From Level I (4);Swifterbant S3;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-27304;5326;26;-24,62;Not reported;Not reported;51,8;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From Level K (5);Swifterbant S3;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-27305;5297;26;-24,35;Not reported;Not reported;57,1;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From Level G (2);Swifterbant S3;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
GrM-29665;5327;29;-24,37;Not reported;Not reported;53,7;Not reported;Not reported;cf. Dee et al. 2020;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Hordeum vulgare, charred seed);From layer 5, spit 3;Swifterbant S4;The Netherlands;Dreshaj et al. 2023b, Tab. 2;SW;ND;
